                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1748,                 1.1048,                 1.3272,                 1.3603,                 1.4164,                 1.3095,                0.27201,                0.31569,                0.18809,                0.08631,                 1.7952,                 2.9682,                 1.8128,                 1.8533,                 3.1831,                 1.6833,              0.0017703,              0.0017703,              0.0017703
                     61,                  1.183,                 1.1226,                 1.3294,                 1.3437,                 1.4276,                 1.3092,                0.25656,                0.34594,                0.20941,                0.09347,                 1.8696,                 2.8603,                 1.8532,                 1.8948,                  3.081,                 1.6728,              0.0017664,              0.0017664,              0.0017664
                     62,                 1.1451,                 1.0668,                 1.3082,                 1.3339,                 1.3552,                 1.2859,                0.30907,                0.41021,                0.25493,                0.12085,                 1.8065,                  2.481,                 1.8074,                 1.8412,                 2.6975,                  1.634,              0.0017624,              0.0017624,              0.0017624
                     63,                 1.1449,                 1.0686,                 1.2966,                 1.3413,                 1.3422,                 1.2749,                0.28579,                0.42888,                0.26229,                0.11667,                 1.8098,                 2.7834,                 1.8385,                  1.881,                 3.0033,                 1.6904,              0.0017584,              0.0017584,              0.0017584
                     64,                 1.1222,                 1.0457,                 1.3033,                 1.3007,                 1.3495,                 1.2794,                0.23376,                0.31191,                0.16436,                0.07429,                 1.8347,                 3.6198,                 1.8683,                 1.9177,                 3.2898,                 1.7294,              0.0017545,              0.0017545,              0.0017545
                     65,                 1.1477,                   1.07,                 1.2908,                 1.3471,                 1.3722,                 1.2706,                0.31366,                0.40832,                0.22995,                0.09913,                 1.8275,                 3.6045,                 1.8352,                 1.9145,                 3.8201,                 1.7132,              0.0017505,              0.0017505,              0.0017505
                     66,                 1.1219,                 1.0512,                 1.3022,                 1.3293,                 1.3448,                 1.2985,                0.37733,                0.41399,                0.31585,                0.15383,                 1.7926,                 2.1024,                 1.8357,                 1.8384,                 2.4899,                 1.6818,              0.0017466,              0.0017466,              0.0017466
                     67,                 1.1182,                   1.05,                 1.3003,                 1.2985,                 1.3237,                 1.2888,                0.34626,                0.41399,                0.31381,                0.14864,                 1.8068,                  2.045,                 1.8121,                 1.8589,                 2.4075,                 1.6758,              0.0017426,              0.0017426,              0.0017426
                     68,                 1.1038,                  1.032,                   1.29,                 1.2877,                 1.3125,                 1.2775,                0.43739,                0.43206,                0.35457,                0.17527,                 1.7044,                 1.8592,                  1.747,                 1.7749,                 2.3815,                 1.6062,              0.0017386,              0.0017386,              0.0017386
                     69,                 1.0965,                 1.0103,                 1.2742,                 1.2904,                 1.3015,                 1.2642,                 0.4553,                0.38238,                0.31795,                0.15638,                 1.7932,                 1.9558,                 1.8431,                  1.852,                 2.4406,                 1.6697,              0.0017347,              0.0017347,              0.0017347
